X,Y,Z
8601,-21505,17663
8960,-20225,18175
7936,-17153,17919
7680,-13313,17919
8448,-9473,17919
8960,-6657,19711
8192,-4609,19967
7168,-3585,20223
6400,-4097,19455
6912,-5889,18175
6912,-7937,17663
7168,-8961,18175
9984,-9217,20223
11520,-10241,21759
11264,-10497,22527
10240,-11009,22527
9984,-11265,23295
10752,-11777,22527
11264,-12289,22527
11264,-12801,21503
11776,-13569,20735
11776,-13825,19967
11776,-13569,19711
10752,-14081,19455
8704,-14337,20223
-230,-60,76
-235,-61,76
-235,-63,72
-231,-63,70
-224,-59,64
-218,-49,63
-214,-38,61
-214,-29,65
-215,-37,92
-225,-39,95
-223,-37,92
-217,-36,86
-213,-35,81
-211,-35,76
-213,-37,72
-214,-39,68
-216,-43,63
-218,-48,61
-220,-51,62
-218,-56,66
-215,-59,73
-214,-62,80
-213,-64,84
-214,-63,90
-215,-63,92
8601,-21505,17663
8960,-20225,18175
7936,-17153,17919
7680,-13313,17919
8448,-9473,17919
8960,-6657,19711
8192,-4609,19967
7168,-3585,20223
6400,-4097,19455
6912,-5889,18175
6912,-7937,17663
7168,-8961,18175
9984,-9217,20223
11520,-10241,21759
11264,-10497,22527
10240,-11009,22527
9984,-11265,23295
10752,-11777,22527
11264,-12289,22527
11264,-12801,21503
11776,-13569,20735
11776,-13825,19967
11776,-13569,19711
10752,-14081,19455
8704,-14337,20223
-230,-60,76
-235,-61,76
-235,-63,72
-231,-63,70
-224,-59,64
-218,-49,63
-214,-38,61
-214,-29,65
-215,-37,92
-225,-39,95
-223,-37,92
-217,-36,86
-213,-35,81
-211,-35,76
-213,-37,72
-214,-39,68
-216,-43,63
-218,-48,61
-220,-51,62
-218,-56,66
-215,-59,73
-214,-62,80
-213,-64,84
-214,-63,90
-215,-63,92
-215,-64,93
-218,-65,85
-222,-66,78
-226,-67,70
-228,-64,67
-229,-64,64
-230,-59,60
-230,-52,60
-229,-51,60
-228,-51,66
-225,-53,66
-228,-53,67
-229,-48,66
-226,-46,67
-211,-50,65
-197,-62,62
-191,-71,48
-192,-74,35
-201,-57,35
-211,-40,43
-227,-16,60
-233,-2,70
-236,4,84
-237,4,99
-239,-12,111
8601,-21505,17663
8960,-20225,18175
7936,-17153,17919
7680,-13313,17919
8448,-9473,17919
8960,-6657,19711
8192,-4609,19967
7168,-3585,20223
6400,-4097,19455
6912,-5889,18175
6912,-7937,17663
7168,-8961,18175
9984,-9217,20223
11520,-10241,21759
11264,-10497,22527
10240,-11009,22527
9984,-11265,23295
10752,-11777,22527
11264,-12289,22527
11264,-12801,21503
11776,-13569,20735
11776,-13825,19967
11776,-13569,19711
10752,-14081,19455
8704,-14337,20223
-230,-60,76
-235,-61,76
-235,-63,72
-231,-63,70
-224,-59,64
-218,-49,63
-214,-38,61
-214,-29,65
-215,-37,92
-225,-39,95
-223,-37,92
-217,-36,86
-213,-35,81
-211,-35,76
-213,-37,72
-214,-39,68
-216,-43,63
-218,-48,61
-220,-51,62
-218,-56,66
-215,-59,73
-214,-62,80
-213,-64,84
-214,-63,90
-215,-63,92
-215,-64,93
-218,-65,85
-222,-66,78
-226,-67,70
-228,-64,67
-229,-64,64
-230,-59,60
-230,-52,60
-229,-51,60
-228,-51,66
-225,-53,66
-228,-53,67
-229,-48,66
-226,-46,67
-211,-50,65
-197,-62,62
-191,-71,48
-192,-74,35
-201,-57,35
-211,-40,43
-227,-16,60
-233,-2,70
-236,4,84
-237,4,99
-239,-12,111
-242,-26,112
-245,-40,111
-245,-54,109
-240,-64,108
-232,-69,112
-226,-75,110
-222,-75,108
-215,-73,101
-216,-71,94
-207,-66,84
-206,-66,74
-222,-70,65
-239,-74,59
-243,-78,57
-231,-73,57
-216,-64,66
-210,-54,68
-210,-46,70
-212,-41,69
-214,-39,66
-212,-42,61
-210,-44,59
-211,-44,57
-213,-48,52
-216,-54,54
-218,-62,60
-221,-67,68
-220,-65,71
-217,-64,72
-212,-67,68
-204,-76,63
-197,-83,60
-193,-86,60
-194,-83,64
-195,-74,68
-200,-67,74
-205,-63,80
-212,-61,92
-213,-60,109
-217,-62,128
-213,-65,152
-210,-67,165
-208,-66,163
-210,-72,153
-205,-83,142
-206,-96,133
-223,-105,127
-228,-111,122
-211,-111,110
-185,-112,101
-218,-62,60
-221,-67,68
-220,-65,71
-217,-64,72
-212,-67,68
-204,-76,63
-197,-83,60
-193,-86,60
-194,-83,64
-195,-74,68
-200,-67,74
-205,-63,80
-212,-61,92
-213,-60,109
-217,-62,128
-213,-65,152
-210,-67,165
-208,-66,163
-210,-72,153
-205,-83,142
-206,-96,133
-223,-105,127
-228,-111,122
-211,-111,110
-185,-112,101
-165,-111,101
-165,-100,97
-180,-83,91
-199,-72,85
-218,-69,81
-228,-71,80
-239,-70,83
-240,-66,90
-241,-62,94
-241,-54,96
-229,-49,91
-220,-44,83
-215,-44,74
-212,-48,70
-218,-55,64
-227,-63,60
-240,-68,60
-239,-76,65
-225,-86,72
-197,-90,85
-170,-86,93
-161,-61,109
-165,-27,101
-163,6,89
-165,22,83
-218,-62,60
-221,-67,68
-220,-65,71
-217,-64,72
-212,-67,68
-204,-76,63
-197,-83,60
-193,-86,60
-194,-83,64
-195,-74,68
-200,-67,74
-205,-63,80
-212,-61,92
-213,-60,109
-217,-62,128
-213,-65,152
-210,-67,165
-208,-66,163
-210,-72,153
-205,-83,142
-206,-96,133
-223,-105,127
-228,-111,122
-211,-111,110
-185,-112,101
-165,-111,101
-165,-100,97
-180,-83,91
-199,-72,85
-218,-69,81
-228,-71,80
-239,-70,83
-240,-66,90
-241,-62,94
-241,-54,96
-229,-49,91
-220,-44,83
-215,-44,74
-212,-48,70
-218,-55,64
-227,-63,60
-240,-68,60
-239,-76,65
-225,-86,72
-197,-90,85
-170,-86,93
-161,-61,109
-165,-27,101
-163,6,89
-165,22,83
-166,15,91
-180,6,103
-194,3,105
-224,6,99
-242,23,105
-253,46,110
-250,65,117
-239,74,120
-227,73,121
-220,64,120
-224,59,110
-226,52,101
-225,48,95
-219,48,88
-219,49,84
-224,50,82
-232,55,75
-245,53,64
-249,44,74
-254,47,72
-255,49,74
-254,51,80
-249,48,77
-239,38,71
-222,21,71
-218,-62,60
-221,-67,68
-220,-65,71
-217,-64,72
-212,-67,68
-204,-76,63
-197,-83,60
-193,-86,60
-194,-83,64
-195,-74,68
-200,-67,74
-205,-63,80
-212,-61,92
-213,-60,109
-217,-62,128
-213,-65,152
-210,-67,165
-208,-66,163
-210,-72,153
-205,-83,142
-206,-96,133
-223,-105,127
-228,-111,122
-211,-111,110
-185,-112,101
-165,-111,101
-165,-100,97
-180,-83,91
-199,-72,85
-218,-69,81
-228,-71,80
-239,-70,83
-240,-66,90
-241,-62,94
-241,-54,96
-229,-49,91
-220,-44,83
-215,-44,74
-212,-48,70
-218,-55,64
-227,-63,60
-240,-68,60
-239,-76,65
-225,-86,72
-197,-90,85
-170,-86,93
-161,-61,109
-165,-27,101
-163,6,89
-165,22,83
-166,15,91
-180,6,103
-194,3,105
-224,6,99
-242,23,105
-253,46,110
-250,65,117
-239,74,120
-227,73,121
-220,64,120
-224,59,110
-226,52,101
-225,48,95
-219,48,88
-219,49,84
-224,50,82
-232,55,75
-245,53,64
-249,44,74
-254,47,72
-255,49,74
-254,51,80
-249,48,77
-239,38,71
-222,21,71
-209,2,74
-193,-9,84
-175,-15,89
-165,-5,90
-165,6,82
-169,12,90
-172,10,115
-170,7,133
-166,4,141
-153,0,137
-136,-10,135
-109,-8,143
-90,-8,152
-104,-24,140
-139,-56,117
-184,-59,90
-232,-47,83
-281,-20,99
-310,6,136
-296,25,174
-260,14,186
-229,-14,184
-196,-34,184
-177,-37,177
-168,-22,155
-172,-9,123
-185,-21,105
-196,-31,91
-211,-34,90
-220,-31,89
-233,-31,83
-251,-42,62
-255,-58,35
-265,-67,10
-268,-71,-7
-274,-88,-15
-283,-113,-12
-283,-121,3
-259,-111,20
-229,-91,32
-202,-73,43
-199,-71,51
-224,-71,64
-251,-71,71
-261,-68,81
-255,-64,90
-246,-60,101
-251,-55,116
-270,-46,136
-288,-36,159
-172,-9,123
-185,-21,105
-196,-31,91
-211,-34,90
-220,-31,89
-233,-31,83
-251,-42,62
-255,-58,35
-265,-67,10
-268,-71,-7
-274,-88,-15
-283,-113,-12
-283,-121,3
-259,-111,20
-229,-91,32
-202,-73,43
-199,-71,51
-224,-71,64
-251,-71,71
-261,-68,81
-255,-64,90
-246,-60,101
-251,-55,116
-270,-46,136
-288,-36,159
-310,-46,181
-314,-62,194
-313,-69,192
-314,-65,180
-281,-61,147
-221,-61,115
-162,-46,100
-119,-17,82
-85,17,44
-49,35,-4
-16,35,-29
-6,19,-1
-35,11,72
-60,16,171
-64,10,205
-56,-6,199
-63,-19,142
-110,-32,119
-190,-48,141
-278,-76,211
-396,-120,297
-499,-167,341
-512,-197,325
-512,-213,306
-512,-226,295
-172,-9,123
-185,-21,105
