X,Y,Z
11161,29183,-4609
11007,27903,-7169
11775,27135,-7937
13567,27135,-8449
15103,27903,-8705
15871,28415,-8449
16383,29183,-8193
14335,28159,-8449
14079,28159,-7937
16383,30719,-5633
17663,32767,-3841
15871,-31745,-3841
11519,-31489,-5377
7935,-31745,-6145
6399,32767,-6913
6655,32767,-5121
6655,32255,-4097
7167,32511,-3073
8191,-32257,-3329
9983,-30465,-3073
10751,-28161,-4097
10751,-25857,-5377
10239,-24321,-8449
8703,-24321,-10241
7167,-24833,-12801
-235,-98,-55
-242,-95,-54
-239,-99,-46
-232,-106,-37
-226,-112,-32
-225,-114,-28
-222,-116,-27
-218,-119,-30
-190,-129,-25
-197,-137,-25
-196,-136,-27
-194,-136,-29
-193,-134,-31
-193,-131,-32
-193,-131,-33
-196,-132,-36
-199,-132,-35
-204,-134,-29
-206,-131,-28
-212,-132,-24
-211,-128,-18
-214,-130,-14
-215,-128,-12
-215,-127,-13
-216,-130,-14
11161,29183,-4609
11007,27903,-7169
11775,27135,-7937
13567,27135,-8449
15103,27903,-8705
15871,28415,-8449
16383,29183,-8193
14335,28159,-8449
14079,28159,-7937
16383,30719,-5633
17663,32767,-3841
15871,-31745,-3841
11519,-31489,-5377
7935,-31745,-6145
6399,32767,-6913
6655,32767,-5121
6655,32255,-4097
7167,32511,-3073
8191,-32257,-3329
9983,-30465,-3073
10751,-28161,-4097
10751,-25857,-5377
10239,-24321,-8449
8703,-24321,-10241
7167,-24833,-12801
-235,-98,-55
-242,-95,-54
-239,-99,-46
-232,-106,-37
-226,-112,-32
-225,-114,-28
-222,-116,-27
-218,-119,-30
-190,-129,-25
-197,-137,-25
-196,-136,-27
-194,-136,-29
-193,-134,-31
-193,-131,-32
-193,-131,-33
-196,-132,-36
-199,-132,-35
-204,-134,-29
-206,-131,-28
-212,-132,-24
-211,-128,-18
-214,-130,-14
-215,-128,-12
-215,-127,-13
-216,-130,-14
-214,-131,-14
-213,-126,-12
-213,-118,-6
-213,-110,-4
-216,-101,-2
-218,-103,-9
-222,-112,-17
-223,-122,-20
-227,-128,-24
-232,-131,-20
-234,-134,-19
-233,-134,-18
-228,-130,-14
-223,-127,-14
-221,-123,-20
-215,-124,-23
-213,-123,-25
-207,-124,-29
-204,-124,-34
-202,-127,-42
-201,-128,-48
-199,-130,-50
-197,-129,-49
-195,-129,-45
-197,-132,-43
11161,29183,-4609
11007,27903,-7169
11775,27135,-7937
13567,27135,-8449
15103,27903,-8705
15871,28415,-8449
16383,29183,-8193
14335,28159,-8449
14079,28159,-7937
16383,30719,-5633
17663,32767,-3841
15871,-31745,-3841
11519,-31489,-5377
7935,-31745,-6145
6399,32767,-6913
6655,32767,-5121
6655,32255,-4097
7167,32511,-3073
8191,-32257,-3329
9983,-30465,-3073
10751,-28161,-4097
10751,-25857,-5377
10239,-24321,-8449
8703,-24321,-10241
7167,-24833,-12801
-235,-98,-55
-242,-95,-54
-239,-99,-46
-232,-106,-37
-226,-112,-32
-225,-114,-28
-222,-116,-27
-218,-119,-30
-190,-129,-25
-197,-137,-25
-196,-136,-27
-194,-136,-29
-193,-134,-31
-193,-131,-32
-193,-131,-33
-196,-132,-36
-199,-132,-35
-204,-134,-29
-206,-131,-28
-212,-132,-24
-211,-128,-18
-214,-130,-14
-215,-128,-12
-215,-127,-13
-216,-130,-14
-214,-131,-14
-213,-126,-12
-213,-118,-6
-213,-110,-4
-216,-101,-2
-218,-103,-9
-222,-112,-17
-223,-122,-20
-227,-128,-24
-232,-131,-20
-234,-134,-19
-233,-134,-18
-228,-130,-14
-223,-127,-14
-221,-123,-20
-215,-124,-23
-213,-123,-25
-207,-124,-29
-204,-124,-34
-202,-127,-42
-201,-128,-48
-199,-130,-50
-197,-129,-49
-195,-129,-45
-197,-132,-43
-200,-134,-41
-204,-134,-43
-208,-133,-40
-210,-133,-37
