X, Y, Z, Thresh, Prec, Max, Min, Total Steps 
-166, -79, 36, 134, 23, 320, -51, 0
-221, -105, 50, 134, 23, 320, -51, 0
-220, -104, 55, 134, 23, 320, -51, 0
-220, -102, 59, 134, 23, 320, -51, 0
-221, -99, 62, 134, 23, 320, -51, 0
-222, -95, 65, 134, 23, 320, -51, 0
-221, -88, 57, 134, 23, 320, -51, 0
-221, -83, 50, 134, 23, 320, -51, 0
-221, -80, 40, 134, 23, 320, -51, 0
-220, -78, 31, 134, 23, 320, -51, 0
-224, -80, 30, 134, 23, 320, -51, 0
-227, -79, 29, 134, 23, 320, -51, 0
-229, -77, 29, 134, 23, 320, -51, 0
-231, -74, 30, 134, 23, 320, -51, 0
-232, -72, 31, 134, 23, 320, -51, 0
-232, -71, 31, 134, 23, 320, -51, 0
-232, -70, 31, 134, 23, 320, -51, 0
-232, -70, 31, 134, 23, 320, -51, 0
-231, -69, 32, 134, 23, 320, -51, 0
-232, -68, 33, 134, 23, 320, -51, 0
-232, -69, 33, 134, 23, 320, -51, 0
-231, -70, 34, 134, 23, 320, -51, 0
-230, -72, 35, 134, 23, 320, -51, 0
-229, -74, 36, 134, 23, 320, -51, 0
-227, -76, 37, 134, 23, 320, -51, 0
-225, -79, 38, 134, 23, 320, -51, 0
-223, -82, 37, 134, 23, 320, -51, 0
-221, -86, 37, 134, 23, 320, -51, 0
-219, -89, 36, 134, 23, 320, -51, 0
-218, -92, 35, 134, 23, 320, -51, 0
-217, -94, 36, 134, 23, 320, -51, 0
-217, -95, 36, 134, 23, 320, -51, 0
-216, -95, 37, 134, 23, 320, -51, 0
-216, -95, 38, 134, 23, 320, -51, 0
-215, -94, 39, 134, 23, 320, -51, 0
-215, -93, 39, 134, 23, 320, -51, 0
-216, -92, 40, 134, 23, 320, -51, 0
-216, -91, 42, 134, 23, 320, -51, 0
-217, -91, 46, 134, 23, 320, -51, 0
-221, -89, 57, 134, 23, 320, -51, 0
-224, -89, 70, 134, 23, 320, -51, 0
-227, -88, 81, 134, 23, 320, -51, 0
-228, -86, 84, 134, 23, 320, -51, 0
-226, -83, 79, 134, 23, 320, -51, 0
-221, -80, 73, 134, 23, 320, -51, 0
-216, -77, 69, 134, 23, 320, -51, 0
-212, -75, 69, 134, 23, 320, -51, 0
-210, -75, 69, 134, 23, 320, -51, 0
-212, -74, 68, 134, 23, 320, -51, 0
-213, -72, 65, 134, 23, 320, -51, 0
-214, -70, 62, 134, 23, 320, -51, 0
-213, -68, 61, 134, 23, 320, -51, 0
-211, -67, 60, 134, 23, 320, -51, 0
-210, -67, 60, 134, 23, 320, -51, 0
-209, -68, 60, 134, 23, 320, -51, 0
-208, -69, 61, 134, 23, 320, -51, 0
-209, -72, 61, 134, 23, 320, -51, 0
-212, -74, 61, 134, 23, 320, -51, 0
-215, -74, 62, 134, 23, 320, -51, 0
-220, -72, 63, 134, 23, 320, -51, 0
-223, -70, 64, 134, 23, 320, -51, 0
-226, -68, 66, 134, 23, 320, -51, 0
-227, -67, 65, 134, 23, 320, -51, 0
-227, -69, 65, 134, 23, 320, -51, 0
-227, -71, 64, 134, 23, 320, -51, 0
-226, -72, 64, 134, 23, 320, -51, 0
-225, -74, 63, 134, 23, 320, -51, 0
-224, -74, 62, 134, 23, 320, -51, 0
-223, -75, 60, 134, 23, 320, -51, 0
-221, -76, 58, 134, 23, 320, -51, 0
-220, -77, 57, 134, 23, 320, -51, 0
-219, -78, 56, 134, 23, 320, -51, 0
-218, -79, 56, 134, 23, 320, -51, 0
-217, -78, 57, 134, 23, 320, -51, 0
-217, -78, 57, 134, 23, 320, -51, 0
-217, -78, 58, 134, 23, 320, -51, 0
-218, -78, 60, 134, 23, 320, -51, 0
-218, -78, 60, 134, 23, 320, -51, 0
-219, -79, 62, 134, 23, 320, -51, 0
-220, -79, 63, 134, 23, 320, -51, 0
-220, -80, 64, 134, 23, 320, -51, 0
-221, -81, 65, 134, 23, 320, -51, 0
-221, -80, 66, 134, 23, 320, -51, 0
-222, -80, 67, 134, 23, 320, -51, 0
-223, -80, 66, 134, 23, 320, -51, 0
-225, -80, 66, 134, 23, 320, -51, 0
-226, -81, 65, 134, 23, 320, -51, 0
-225, -80, 63, 134, 23, 320, -51, 0
-224, -78, 62, 134, 23, 320, -51, 0
-221, -75, 60, 134, 23, 320, -51, 0
-220, -73, 58, 134, 23, 320, -51, 0
-219, -72, 57, 134, 23, 320, -51, 0
-219, -74, 56, 134, 23, 320, -51, 0
-218, -78, 55, 134, 23, 320, -51, 0
-217, -79, 54, 134, 23, 320, -51, 0
-218, -80, 52, 134, 23, 320, -51, 0
-218, -77, 51, 134, 23, 320, -51, 0
-220, -74, 52, 134, 23, 320, -51, 0
-221, -72, 53, 134, 23, 320, -51, 0
-221, -73, 55, 134, 23, 320, -51, 0
-221, -77, 56, 134, 23, 320, -51, 0
-220, -81, 55, 134, 23, 320, -51, 0
-219, -84, 54, 134, 23, 320, -51, 0
