X,Y,Z
-206,-58,18
-212,-57,16
-223,-54,18
-237,-52,24
-253,-51,31
-269,-51,43
-282,-52,58
-287,-51,71
-242,-40,58
-250,-45,48
-246,-47,39
-245,-50,30
-247,-50,21
-247,-54,14
-244,-59,14
-235,-66,15
-225,-68,16
-223,-77,17
-214,-76,13
-213,-77,15
-218,-74,19
-222,-68,24
-225,-64,27
-228,-61,29
-229,-56,27
-229,-55,25
-226,-58,20
-222,-61,17
-219,-61,12
-217,-63,11
-216,-65,8
-217,-65,13
-218,-63,15
-217,-61,19
-214,-64,24
-197,-66,42
-214,-44,66
-244,-11,106
-239,23,156
-215,11,191
-214,-26,201
-229,-52,197
-243,-67,182
-243,-80,156
-237,-78,122
-231,-69,99
-227,-64,84
-217,-60,70
-200,-54,62
-189,-51,73
-186,-48,103
-171,-42,139
-153,-45,171
-147,-49,190
-158,-32,204
-179,-11,210
-195,0,210
-223,-5,198
-244,-18,179
-240,-34,152
-245,-30,115
-233,-25,76
-223,-22,48
-215,-26,26
-207,-38,8
-204,-44,0
-205,-43,-11
-217,-45,-32
-237,-54,-50
-255,-66,-50
-263,-68,-28
-265,-73,5
-269,-101,8
-271,-124,11
-261,-122,26
-238,-105,57
-210,-87,79
-204,-83,83
-233,-71,87
-270,-52,95
-304,-51,120
-337,-56,194
-384,-39,333
-430,-11,456
-482,8,511
-469,7,511
-386,-2,436
-271,0,260
-146,19,123
-47,29,27
28,20,-32
80,37,-53
100,55,-46
101,69,0
90,80,55
63,73,71
58,57,73
52,32,62
37,19,78
12,11,130
-25,7,186
-79,-24,273
-184,-80,405
-323,-188,511
-472,-285,511
-512,-364,511
-512,-364,511
-512,-396,468
-359,-372,283
-285,-284,19
-198,-117,-178
-122,-6,-291
-47,-24,-255
-68,-36,-198
-97,3,-131
-122,56,-96
-116,63,-55
-93,20,-39
-72,22,-64
-70,52,-87
-82,65,-108
-105,51,-144
-134,25,-199
-162,15,-257
-178,22,-306
-286,7,-254
-471,-106,101
-477,-199,511
-411,-354,511
-346,-457,511
-213,-475,511
-121,-324,511
-106,-147,370
-110,19,156
-99,100,5
-82,133,-96
-41,107,-131
-8,89,-129
15,79,-94
41,51,-15
44,26,77
81,40,42
185,-5,3
268,-79,-8
270,-53,18
190,-55,144
80,-69,374
-78,-138,511
-218,-280,511
-512,-398,511
-512,-427,511
-512,-435,511
-512,-385,315
-512,-261,75
-329,-101,-99
-129,30,-159
-26,78,-140
11,89,-80
24,89,-50
20,153,-10
35,184,23
30,149,-5
49,97,-19
79,76,-64
85,65,-173
54,74,-308
41,94,-352
-13,11,-249
-172,-94,-43
-409,-140,275
-512,-291,511
-512,-402,511
-512,-284,511
-388,-75,511
-265,4,434
-134,81,295
-57,137,223
-33,145,102
19,143,53
88,141,12
87,73,-36
114,24,-39
138,0,-13
141,-10,9
126,-2,24
117,-3,67
85,-26,175
64,-47,273
4,-51,464
-80,-36,511
-8,-45,511
-62,-82,511
-226,-166,511
-339,-214,511
-367,-212,491
-338,-168,306
-237,-105,118
-172,-19,84
-160,-25,85
-99,-43,64
-69,-87,-6
-63,-110,-70
-109,-101,-122
-131,-66,-101
-126,-28,-75
-74,22,-132
-51,36,-171
-68,17,-165
-82,-44,-165
-94,-85,-177
-99,-40,-165
-147,28,-215
-224,-15,-43
-404,-120,511
-512,-64,511
-306,70,511
-186,90,511
-97,104,511
-13,141,484
39,116,328
88,68,175
119,23,77
139,-15,58
113,-44,176
114,-35,324
156,50,365
117,75,301
131,75,223
159,38,159
148,-17,142
96,-72,176
-2,-103,314
-55,-68,511
-146,-122,511
-235,-197,511
-321,-194,511
-429,-220,511
-500,-171,511
-395,-120,347
-245,-83,196
-143,-64,74
-98,-34,-32
-56,-18,-102
6,-21,-141
39,-38,-145
30,-44,-134
5,-37,-120
-22,-31,-115
-44,-17,-111
-61,-2,-127
-107,4,-185
-147,19,-232
-231,39,-231
-391,74,-120
-454,99,228
-425,50,511
-359,118,511
-199,276,511
-53,333,511
4,191,494
76,63,244
77,72,162
104,63,60
29,52,-21
-11,84,17
20,72,34
85,55,10
91,26,-23
121,52,-61
147,27,-54
182,14,-8
214,22,83
183,30,229
149,9,473
154,-141,511
34,-304,511
-129,-334,511
-374,-259,511
-420,-158,511
-431,-101,511
-449,-64,468
-285,-90,370
-200,-60,230
-109,-50,130
