X,Y,Z
18,3,26
15,7,24
10,7,20
4,6,16
-2,3,14
-3,2,13
-2,1,18
4,-1,24
-16,6,45
-27,2,47
-22,-9,52
-5,-14,55
2,-8,63
6,0,60
8,5,50
5,9,45
3,12,43
2,19,47
6,22,49
13,25,40
17,37,46
26,46,47
23,48,39
12,46,31
-8,43,19
-22,41,13
-23,38,15
-12,40,21
4,47,37
15,51,45
35,57,44
44,57,45
53,57,42
50,54,34
54,52,32
48,56,29
39,58,30
25,56,41
18,50,44
41,50,41
17,46,45
31,42,45
14,42,53
14,44,53
5,47,53
5,46,58
6,46,55
7,43,56
15,39,54
9,30,59
12,24,55
10,24,46
14,23,38
20,23,32
30,20,29
39,21,28
40,23,26
39,24,21
34,24,20
23,20,21
10,21,22
-4,20,21
-27,19,17
-47,17,13
-44,16,15
-29,11,22
-14,9,32
-6,8,39
0,11,41
4,18,39
6,25,34
7,27,31
8,25,24
2,20,19
-4,15,12
-9,10,4
-17,5,5
-22,-1,8
-15,-11,14
1,-16,28
15,-17,32
21,-11,32
23,0,30
21,9,21
20,17,19
17,18,17
9,16,14
6,16,12
0,16,14
-6,13,18
-7,12,24
-9,10,32
-9,7,37
-9,6,43
-5,6,42
0,7,38
1,13,34
2,16,27
3,17,20
5,18,11
7,17,11
6,19,6
5,21,2
4,24,2
6,22,3
8,20,6
12,20,13
6,17,14
8,15,13
7,14,12
7,15,11
7,14,8
8,11,8
9,10,4
10,8,3
8,6,1
10,7,0
10,6,3
9,6,5
8,10,8
6,10,11
6,8,13
3,9,15
3,8,16
2,9,15
1,11,18
1,12,19
1,13,16
0,15,17
-1,17,17
2,19,20
3,22,23
2,24,26
3,27,21
0,24,17
-1,19,16
-1,14,17
1,15,16
7,18,16
12,24,17
9,26,16
6,25,15
-1,23,15
-3,20,15
-3,19,20
0,16,25
5,18,23
5,20,22
4,20,20
3,17,17
1,12,14
0,10,13
0,9,12
0,10,14
1,10,16
0,8,15
0,7,13
-1,10,15
-1,10,15
-1,13,14
2,13,14
-1,12,13
0,9,13
1,10,9
2,9,7
2,9,8
2,9,6
2,8,7
5,8,5
6,7,4
6,9,3
7,9,1
9,8,2
9,5,0
7,6,2
8,7,1
7,7,2
7,7,5
5,11,8
7,11,9
5,12,11
2,12,8
0,13,6
-3,13,10
-6,8,13
-8,5,15
-8,5,14
-5,7,13
-2,12,15
-1,16,14
0,17,10
1,16,9
0,16,7
2,15,6
0,14,3
-2,14,4
-2,12,7
-3,13,8
1,14,9
1,15,8
2,15,5
2,16,5
2,17,4
5,16,5
5,14,4
4,11,5
5,10,4
6,9,4
6,9,6
5,9,5
5,10,6
6,11,7
5,14,9
5,12,10
4,13,9
5,11,9
3,11,9
3,12,11
2,13,13
3,13,12
3,13,13
2,14,12
2,13,14
3,13,15
4,13,12
3,11,12
4,12,12
4,14,9
4,13,9
5,11,8
4,12,10
4,15,11
4,15,12
5,16,10
4,15,10
2,16,10
-1,12,14
-1,8,26
-1,7,28
-3,12,27
1,17,33
4,15,28
5,9,21
6,10,13
8,12,13
6,16,11
7,19,12
7,20,11
5,19,10
3,15,10
0,15,11
-1,16,10
0,15,11
0,17,10
2,14,8
2,16,9
5,16,7
4,15,4
2,14,3
3,13,2
2,14,3
4,16,6
6,16,8
8,18,8
6,16,9
6,14,9
6,12,9
8,10,8
7,7,13
5,6,14
5,6,15
5,10,18
4,6,19
5,1,20
8,1,20
9,6,14
14,14,15
13,23,19
10,19,19
2,5,27
-3,3,42
-4,8,47
-3,5,47
-2,-1,51
0,-7,48
2,-2,49
11,3,47
26,15,51
38,22,53
35,22,48
12,19,35
-24,20,22
-40,22,12
-39,24,12
-36,24,15
-29,26,16
-16,30,11
5,33,-2
29,35,-18
47,38,-23
48,39,-18
50,40,-15
42,43,-5
33,51,6
18,59,20
16,58,24
7,49,23
16,41,25
28,37,39
36,36,51
33,32,53
24,34,52
9,39,49
3,34,37
2,26,26
7,23,25
6,25,27
4,31,38
3,37,48
-1,40,49
-19,45,45
-33,41,47
-44,39,51
-56,33,55
-64,26,61
-59,21,70
-40,22,81
-24,23,75
-25,13,60
-40,-1,40
-50,-6,28
-48,-3,30
-43,1,37
-36,1,49
-26,-2,59
-17,-4,65
-14,-5,75
-21,-11,86
-2,-39,83
47,-54,96
17,-44,79
4,-26,45
-5,-14,8
-3,-2,-12
2,3,-15
6,1,11
9,0,39
14,4,42
25,13,30
15,16,10
9,14,-3
2,12,-14
-2,7,-12
8,1,-8
8,-3,-20
10,-11,-38
12,-19,-51
34,-28,-61
45,-33,-61
39,-29,-58
10,-5,-40
-7,13,-28
-26,27,-11
-37,31,-14
-42,22,-25
-46,9,-14
-44,7,-4
-25,18,35
-26,28,66
-19,34,86
3,35,107
30,35,121
56,32,129
72,26,129
77,29,122
78,38,113
70,41,101
53,37,86
21,30,73
-2,20,63
-4,16,55
-2,22,51
-6,33,59
-24,55,75
-26,72,82
-32,82,75
-60,85,70
-63,78,86
-63,73,107
-30,72,116
-11,67,127
-6,59,129
-12,51,120
-33,41,96
-54,22,69
-60,9,52
-57,1,38
-41,-1,35
-19,-1,37
-3,-2,40
13,-3,40
28,0,43
38,7,44
48,18,41
52,23,35
56,21,25
48,13,14
39,12,3
43,13,-3
40,9,-13
41,7,-21
3,-4,-17
-32,-14,2
-57,-25,15
-75,-31,27
-66,-26,31
-63,-22,26
-45,-18,11
-30,-6,-8
-7,1,-10
17,2,-10
19,2,-4
5,7,-3
-14,16,-3
-27,26,-2
-14,31,6
8,31,15
31,38,32
55,47,35
72,53,34
91,56,34
102,53,39
107,43,44
105,37,44
97,32,41
86,36,40
75,51,49
59,66,58
37,66,68
12,55,79
-10,41,85
-43,37,88
-71,38,91
-85,41,92
-87,46,87
-88,53,76
-101,58,63
-96,59,54
-77,51,47
-60,40,48
-44,29,45
-42,24,40
-44,21,29
-46,18,19
-42,13,13
-29,7,34
-8,-4,60
18,-11,89
45,-12,112
66,-4,118
83,5,106
